domain,title,industry_code,tag,source_url,source_text,payload_json,is_active,parsed_confidence,need_review,source_file,page
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 1 - 사업계획서 작성 예시 (사업계획서 PartⅡ)□ 중소기업들에게 사업계획서 작성에 도움을 드리고자 사업계획서 PartⅡ의 항목별로 작성해야 할 주요내용 및 작성예시를 제시한 자료임  □ 세부사업별로 사업계획서 PartⅡ 양식 및 작성 페이지수가 다를 수 있으므로 사업별 공고문의 내용 및 첨부파일을 확인후 작성하여 주시기 바랍니다. □ 사업계획서 PartⅡ 작성방법 자료 구성  작성항목예시과제분야 및 과제수 기술개발의 개요 및 필요성바이오의료 1개 과제 기술개발의 목표화학(1), 기계소재(1), 정보통신(1) 3개 과제기술개발의 방법 정보통신 1개 과제 사업화 계획정보통신(1), 전기전자(1) 2개과제 ※ 본 자료는 사업계획서 작성시 참고자료로만 활용하여 주시기 바랍니다. Ⅰ. 사업계획서 part Ⅱ (5~10페이지 이내 작성)1.기술개발의개요및필요성작성방법◦개발기술의개요및필요성-개발대상기술(제품,서비스등)의개요,기존제품(기술)의문제점,수요처의개선요구,향후시장의변화대비등에관해서기술하고이에따른기술개발의필요성을서술<작성예시>용이한삽입과강한초기고정력을갖는기능성인공고관절개발(바이오의료-기능복원/보조및복지기기-기타기능복원/보조및복지기기)◦ 인공고관절의사용목적은회복이불가능할정도로손상된환자의기존고관절을제거하고기존의고관절을대체하여보행과같은일상생활을가능하게하는데에있음.인공고관절의기본구조는인체정상고관절구조를있는그대로모방하였고,그림과같이대퇴골내로삽입되는스템,대퇴골두,골반쪽에고정되는비구컵,그리고대퇴골두와비구컵사이의마찰을최소화하기위한라이너로구성됨.","{""source_file"": ""itbrain_part2.pdf"", ""page"": 1, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.588400"", ""source_lines"": 4, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,1
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 2 - 그림. 인공고관절의상세구조◦현재상용화된인공고관절의문제점 ▪인공고관절을뼈에고정시키는방법으로현재골성유합법을사용하고있음.기존인공고관절들을뼈에밀착시키고단단히고정시키기위해인공고관절크기에맞게뼈를깎아내는라스핑과물리적힘을가해삽입하는햄머링을과도하게시행하는경우가많아시술이어렵고뼈에손상이갈수있기때문에환자와의사들이큰부담감을안고있음.또한,뼈가자라는데시간이걸리기때문에수술직후에는고정력이약함. ▪인공고관절의수명에한계가있는데다인공고관절의마모로인해생긴금속이나고분자파편때문에뼈가녹는골용해와같은문제때문에인공고관절을시술한환자의재수술이필요함.기존의대부분인공고관절을사용한수술은라스핑과햄머링을과도하게실시하여뼈를많이손상시키고재수술시점에서의인공고관절은뼈와강하게결합되어있으므로시술된인공고관절의제거가극히어려운실정임. ▪기존의상용화된인공고관절은초기시술과재수술에환자가위험부담을안고있고,더욱시술직후뼈가자라기전에는움직임이힘듦.◦제안하는인공고관절기술은회복이불가능할정도로손상된엉덩이관절을치료할때사용되는인공고관절로서삽입이용이하고,강한초기고정력을가지는특징으로하여환자에게는안전하고고통을줄여줄수있고,또한재수술이필요할경우큰어려움없이사용된인공고관절을제거할수있으며,의사에게는간편한시술로수술의부담을덜어줄수있는기능성인공고관절의설계와제조를위한기술개발임","{""source_file"": ""itbrain_part2.pdf"", ""page"": 2, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.614999"", ""source_lines"": 4, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,2
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 3 - 작성방법◦최종목표-개발하고자하는기술의내용을개발결과물(제품,기술등)을중심으로명확하게기술(적용분야,적용기술,주요성능등을제시)-개발결과물에대해서명확하게제시:예)ooo알고리즘,ooo시스템등◦기술개발내용-개발내용은전체개발하고자하는주요핵심기술위주로세부개발내용서술(12개월이상인사업은1차년도,2차년도로구분하여기술개발내용서술,표형태로제시가능함)-기술및사업화경쟁력을확보하는데필요한핵심기술제시및성능지표중에서가중치가높은성능지표의목표를달성하기위한기술개발내용을제시◦목표달성도평가지표(표성능지표목표및측정방법참고)-개발결과물에대한검증을위한성능지표들을제시-주요성능지표는5개이상제시,정량적지표로중심으로제시,그렇지못할경우에는측정방법(측정환경)을작성하여객관적으로검증실시계획제시-시험규격은주요성능지표의측정(시험)방법에대한객관적기준이되는규정 ·KS시험규격,ISO규격,JIS규격등·-측정결과의증빙방법은1)공인시험·인증기관2)외부기관(학교나연구소등)3)자체평가중하나를선택하여제시-성능지표들에대해서시료의정의및측정방법(측정환경)을명확하게제시※KOLAS시험기관검색:https:/ / www.kolas.go.kr>>검색서비스>>시험기관검색활용 2.기술개발의목표 <작성예시1>내한굴곡성(00000회/ -00℃)및투습방수기능이우수한하이브리드필름소재및섬유융합제품개발(화학-섬유제품-융합섬유제품)2.1최종목표◦바이오매스기반투습방수PU필름제조및PTFE필름을사용한복합하이브리드필름의라미네이팅공정기술을개발하여내한굴곡성및투습방수성우수한원단및기능성의류제품을개발.2.2목표달성도평가지표","{""source_file"": ""itbrain_part2.pdf"", ""page"": 3, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.653870"", ""source_lines"": 6, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,3
policy_support,INSIDabcdef_:MS_0001MS_0001,IT,policy_support,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 4 - 주요성능지표1)단위최종개발목표2)세계최고수준(보유국/보유기업)가중치3)(%)객관적측정방법시료수(n≥5개)시험규격4)1.바이오매스함량(Biomass-PU)%OO이상-152ASTMD68662.두께㎛OO15~2055KSKISO50843.내수도mmH2OOOOOO이상10,000155KSKISO811(저수압법)4.투습도g/m2/24hOOOOO이상8,000155KSK0594(초산칼륨법)5.내한굴곡후내수도mmH2OOOOO이상6,000205KSMISO17694준용(20,000회/-20℃)KSK0591(저수압법)6.인장강도NOO이상5~1055KSK0520(그래브법)7.인열강도NOO이상1555KSK0535(펜듈럼법)8.발수도급O4-5105KSK0590(스프레이법)9.박리강도NOO이상15105ISO2411□ 시료수5개미만(n<5개)시사유◦ 바이오매스함량측정은기기측정으로2회로충분히검증된다고판단됨.수지합성이연차별1~2회정도이루어지기때문에같은시료로반복측정하는것은비용부담이너무큼.□ 측정결과의증빙방법제시◦ 성능지표1~2는개발제품의필름형태로해당공인시험인증기관(한국의류시험연구원또는FITI시험연구원)의시험성적서제출.◦ 성능지표3~9는개발제품의라미네이팅섬유제품으로해당공인시험인증기관(한국의류시험연구원또는FITI시험연구원)의시험성적서제출.주요성능지표시료정의측정방법1.바이오매스함량(Biomass-PU)Biomass-PU필름첨단가속질량분석기(Accelerator Mass Spectrometry: AMS)2.두께하이브리드필름KS K ISO 139에규정된상태에서컨디셔닝된시험편으로두께측정3.내수도원단과필름이합쳐진라미네이팅원단KS K ISO 139에규정된상태에서컨디셔닝된시험편으로내수도측정4.투습도원단과필름이합쳐진라미네이팅원단양변에서전폭의1/10씩양끝에서100cm이상떨어진곳에채취함5.내한굴곡후내수도원단과필름이합쳐진라미네이팅원단KSM17694준하는시험기기에서내한굴곡후내수도를측정 <표2>목표달성도평가지표 ◦시료정의및측정방법","{""source_file"": ""itbrain_part2.pdf"", ""page"": 4, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.713739"", ""source_lines"": 6, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,4
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 5 - 주요성능지표1)단위최종개발목표2)세계최고수준(보유국/보유기업)가중치3)(%)객관적측정방법시료수(n≥5개)시험규격4)1. Capacityml/hOOOO이상1,500(일본/Yoshida)205입회시험2. Nozzle GapμmOO 이하70 ㎛(일본/Yoshida)1553차원측정3. 압력PsiOOOO 이상1,000(이태리/GAE)205입회시험4 . Contamination%OOOO 이하0.001(이태리/GAE)155 ICP5. 나노입자크기nmOO 이하60105 TEM 6.인장강도원단과필름이합쳐진라미네이팅원단표준화상태의습윤상태에서정속인장식(CRE) 시험기를사용함7.인열강도원단과필름이합쳐진라미네이팅원단예비컨디셔닝, 컨디셔닝및시험환경은KS K ISO139에따라야함8.발수도원단과필름이합쳐진라미네이팅원단별도로규정되어있지않고발수처리된표면을고르고평평하게당겨서측정9.박리강도원단과필름이합쳐진라미네이팅원단시험편을KSMISO2231의방법에따라전처리하고박리강도측정규격에따라시험을진행함<작성예시2>실시간입도제어기술을융합한나노Hydrodispersion시스템개발 (기계ㆍ소재-나노ㆍ마이크로기계시스템-시스템통합화기술)2.1최종목표◦실시간입도제어기술을융합한나노Hydrodispersion시스템개발-초고압(OOOOMPa이상)을이용한분말및slurry소재의나노hydrodispersion요소기술개발-처리량OOOml/min의나노hydrodispersionsystem시작품개발-실시간입도측정장치모듈적용및제작기술개발-실시간입도제어및나노Hydrodispersion기술의융합공정및장치개발-Hydrodispersion된나노소재분말의물리적특성평가(분말의크기:OOnm급,분산도:SPANOO이하,불순물유입량:OOOO%이하)(대상:CNT및SiOx분말소재)2.2목표달성도평가지표<표2>목표달성도평가지표","{""source_file"": ""itbrain_part2.pdf"", ""page"": 5, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.771302"", ""source_lines"": 5, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,5
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 6 - 6. 분산도SpanOO 이하3.0105 PSA7. 온도℃OO 이하30(이태리/GAE)105입회시험□ 시료수5개미만(n<5개)시사유 ◦ 해당사항없음□ 측정결과의증빙방법제시◦ 성능지표1의경우, 3축고압분산기의처리용량으로투입분말대비생산되는분말의용량을의미하는것으로OOOO ml/h을자체평가를통해검증◦ 성능지표2의노즐gap은분산압력및입자의크기에따른분말의분사노즐의크기를의미하며, 자체평가를통해제어가능한노즐의크기를측정◦ 성능지표3의압력은나노분말의분산을위해물질에가해지는압력으로측정은자체평가수행후, 입회시험평가를수행◦ 성능지표4-6은최종생산되는나노입자의크기, 분산도및순도를측정하는지표로서입자의불순물은ICP-MS(한국화학시험연구원)를, 나노입자의크기는TEM(나노융합기술연구원), 이때의입자분산도는Nano-PSA(나노융합시험연구원) 통해각각분석을진행하여공인인증서를제출◦ 고압분산기를이용하여분산된분말을함유한용액의온도를측정하는것으로보정된온도측정장치를이용하여자체평가및입회시험수행 주요성능지표시료정의측정방법1. Capacity초고압분산기의처리용량일반상온및대기조건에서초고압분산장치를통해처리되는시료를시간당부피를측정. 부피측정방법은정량용기를이용하거나또는피스톤을이용하여부피측정2. Nozzle Gap 초고압분산기의분사노즐의gap size일반상온및대기조건에서초고압분산노즐의gap size를3차원측정기를이용하여측정(정밀도OO μm 이내)3. 압력나노분말의분산시가해지는압력일반상온및대기조건에서초고압분산기의노즐통해분사되는시료의압력을측정4. Contamination최종분산후분말의불순물함량XRF 또는XRD를이용하여불순물의정성분석실시후ICP 분석을이용하여불순물의정량분석실시5. 나노입자크기초고압분산및분급후분말의입자의크기나노입자를분석하기위해서는투과전자현미경을이용하여나노입자의크기를분석(OO nm 이하)6. 분산도초고압분산및분급후분말의분산도PSA 분석을통하여D50, D10, D90 값을분석하여분산도(span=(D90-D10)/D50)를계산함7. 온도초고압분산후분말을함유한용액의온도보정된온도측정장치를이용하여초고압분산기를통해처리된시료의온도를측정 ◦시료정의및측정방법","{""source_file"": ""itbrain_part2.pdf"", ""page"": 6, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.828717"", ""source_lines"": 6, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,6
policy_support,INSIDabcdef_:MS_0001MS_0001,IT,policy_support,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 7 - <작성예시3>IoT시계열빅-데이터실시간저장분석및시각화플랫폼기술개발 (정보통신-U-컴퓨팅-U-컴퓨팅플랫홈및응용기술)2.1최종목표◦IoT시계열빅-데이터실시간저장분석및시각화플랫폼기술개발-기존다중사물인터넷플랫폼을지원하는IoTAdaptors개발하여사용자가쉽게데이터분석플랫폼과연동할수있는인터페이스구축-사물인터넷실시간스트리밍데이터를처리분석하는In-Memory기반의ComplexStreamProcessing기술을개발하여실시간분석기술적용-사용자인터페이스기반의다양한분석알고리즘개발및적용툴개발-데이터특성에따른다양한Visualization기법을제공하여다양한서비스제공-대용량시계열데이터베이스를이용한사물인터넷빅데이터저장및처리시스템구축-OpenAPI를통한분석결과의서비스연동인터페이스개발2.2목표달성도평가지표<표2>목표달성도평가지표주요성능지표1)단위최종개발목표2)세계최고수준(보유국/보유기업)가중치3)(%)객관적측정방법시료수(n≥5개)시험규격4)처리량건OOO건/초무제한(Amazon/미국)20-TTA공인기관인증시험시각화건OO건50건(Google/미국)20-자체시험및평가시시연데이터베이스응답속도msOOOms500ms(Oracle/미국)20-TTA공인기관인증시험알고리즘건O건-20-자체시험및평가시시연Notification응답속도초O초-10-TTA공인기관인증시험연동IoT플랫폼수건O건무제한(Amazon/미국)10-TTA공인기관인증시험□ 시료수5개미만(n<5개)시사유◦ 실시간처리에대한속도건으로시료수문제는없는것으로판단됨.□ 측정결과의증빙방법제시◦ 처리량,시각화등단순증빙이가능한것들은자체시험으로증빙하도록함◦ 데이터베이스응답속도,Notification응답속도등객관적측정이필요한지표는공인시험기관인TTA에평가를의뢰할계획임","{""source_file"": ""itbrain_part2.pdf"", ""page"": 7, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.882136"", ""source_lines"": 4, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,7
market_size,INSIDabcdef_:MS_0001MS_0001,IT,market_overview,,INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 8 - 주요성능지표시료정의측정방법처리량실시간처리량분석을위한임의을시계열데이터발생기를통한데이터처리량․플랫폼에데이터쉽을위한수집처리단의데이터시계열포인트수․구성된플랫폼내의1초에처리할수있는실시간처리및데이터베이스저장․초당플랫폼에서데이터를수집및처리하여데이터를저장되는것까지확인․TTA시험성적서로처리량목표달성여부검증시각화IoT에서생성되는실시간시계열데이터․분석시스템에서제공하는시각화기법확인․기본시계열데이터를표현하는정량적인시각화화면수를체크데이터베이스응답속도분한환경기반의IoT시계열데이터조회․OO만건이상의시계열데이터를서버에질의하여사용자에게전달되는데걸린시간측정․TTA시험성적서로데이터베이스응답속도목표달성여부검증알고리즘IoT에서생성되는실시간시계열데이터․데이터포인트별로적용할수있는분석알고리즘의개수확인․연동된IoT디바이스의실제데이터를기반으로분석적용가능알고리즘확인Notification응답속도분석및이벤트발생시사용자에게응답전송․이벤트발생시점에서부터사용자인터페이스로Notification이도달하는데걸리는시간측정․TTA시험성적서로이벤트검출에따른사용자응답속도목표달성여부검증-연동IoT플랫폼수분석시스템과연동되는개방형IoT플랫폼․이기종플랫폼연동을통한데이터취득확인․연동을위한API및제공방식확인검증을통한연동플랫폼수측정․TTA시험성적서로연동IoT플랫폼수목표달성여부검증 ◦시료정의및측정방법,"{""source_file"": ""itbrain_part2.pdf"", ""page"": 8, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.906832"", ""source_lines"": 5, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,8
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 9 - 3.기술개발의방법작성방법◦기술개발방법-기술및사업경쟁력을확보하기위한핵심요소기술,최종목표달성(가중치높은성능지표달성등)을위한기술개발내용에대한방법론(각기능에대한구현방법)및핵심기술확보방안등에대해기술-개발하고자하는핵심기술에대해서는아래와같이표형태로제시하는것도가능함핵심기술기술개발방법핵 심 기 술  확 보  방 안 비고자체개발(관련기술전문가 O명 보유)기술이전을 통한 확보솔루션 도입하여 자체개발-12개월이상인사업은1차년도,2차년도로구분하여제시요망(해당시)-수행기관(주관,공동개발,참여,위탁등)별기술개발내용을구분하여제시요망(해당시) <작성예시>IoT기반표준화된현장보급확산형가두리통합관리시스템 (정보통신-RFID/ USN-RFID/ USN서비스)(1차년도）◦해양환경데이터수집장치개발(유인+무인Hybrid방식)-전원컨트롤러및전류제어컨트롤러H/W및S/W개발-센서장비의종류에관계없이설치가능한유연성을가진제품설계-쉽게설치및해제가가능한제품개발-양식장의위치와관계없이설치가능한장비개발(GPS부착)-유지보수가용이한장비개발◦데이터측정정확도를위한센서이물질방지장비개발-센서에해양생물부착으로인해센서값오작동을방지하기위한장비설계-특수케이스(자체기술보유)로제작하여해양환경에견딜수있는장비설계-압축공기주입방식으로센서이물질제거장비로주기적으로센서주변을청소◦지능형환경정보측정을위한센서이동장치개발및임베디드SW개발-수중깊이에따라표면,중층,심층의센싱데이터를자동으로연동하며정보를수집-윈치를활용하여수중깊이에따라자동으로측정하는센서이동장치개발-센서이동장치를제어하는임베디드SW개발","{""source_file"": ""itbrain_part2.pdf"", ""page"": 9, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.927966"", ""source_lines"": 5, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,9
industry_trends,INSIDabcdef_:MS_0001MS_0001,IT,industry_trend,,"INSIDabcdef_:MS_0001MS_0001 INSIDabcdef_:MS_0001MS_0001 - 10 - ◦SensorData수집컨트롤러및표준화된인터페이스모듈개발-IoT기반(RFID,센서등)실시간데이터수집을위한표준인터페이스개발-이기종센서통합API개발-RS232,485,TCP/IP,LTE통합인터페이스개발-TCP/IP,HTTP송수신프로토콜개발-AIDC(자동식별및데이터획득기술)Adaptor연동기술◦무인양식장의상시전원공급이가능한자가발전장치(태양광)적용-태양광을통해운영이가능하도록저전력기반운영시스템설계-유지보수및설치가용이하도록장비설계-표면유리는유리자체의반사손실을최대한줄이기위해표면반사율이낮은저철분강화유리를사용-충진제는EVA(EthyleneVinylAcetate)를사용하여깨지기쉬운셀을보호-무인부표의데이터수집장치와연동되는SolarModule,SensorModule제어및관리알고리즘기술개발◦CCTV포함대용량데이터통신을위하여OGHz대의모뎀개발및적용-보급형IoT기반가두리통합관리시스템은환경데이터량증가(센서,무인사료급이기,CCTV등)로인하여기존WIFI및LTE모뎀변경이필요하여파도와너울등해양환경에적합한무선통신모뎀으로보급형IoT기반가두리통합시스템완성하고자한다..주파수:OOGISM대역(OOOO~OOOOMHz).대역폭:OOMHz.변조방식:직교주파수분할다중방식(OFDM).TDD(TimeDivisionDeplexing)방식의양방향통신.암호화:AES-128◦차별화된IoT기반무인사료급이장치개발-양식장에직접접근하지않고원격으로사료급이관리-무인사료급이장치개발로생산효율성증대-과학적인데이터에근거한DB구축에의한사료급이로체계적인양식기술및노하우축적◦마이크로버블과수중카메라를활용한양식어들의생장/발육관리시스템개발-수중카메라와자동급이장치를활용해양식어생장/발육상태관리-양식어활동상태실시간모니터링-수중카메라를이용하여어병및생장상태모니터링-산소와사료를함께공급하면섭이활동이증가되는어류의특성을이용하여산소와사료를함께공급하여생산량증대","{""source_file"": ""itbrain_part2.pdf"", ""page"": 10, ""source_type"": ""pdf_text"", ""ocr_engine"": ""pypdf"", ""ocr_error"": """", ""parsed_at"": ""2026-03-01T13:11:31.951365"", ""source_lines"": 4, ""ocr_retries"": 0}",true,90,false,itbrain_part2.pdf,10
